index,route_type,length_1,heat_value_1,length_2,heat_value_2,length_3,heat_value_3,length_4,heat_value_4,length_5,heat_value_5,length_ratio,cost_angle_mean,links,correct,,,,,
4,0,0.7582625,1.3160371,0,0,0,0,0.2417375,13.2766826,0,0,1.0395961,0.0208348,"[1, 1202285332, 1202285331, -17831580, -1066637398, -1066637399, -17800351, -1155682643, -1165417485, -1165417486, -1165417484, -24994580, -916540399, -1202394333, -1202394484, -1202394485, -1042160979, -1296608452, -1296608453, -1296608450, -1296608451, -1296608448, -1296608449, -24994577, -1165417482, -1165417483, -122451528, -24994571, -1296540870, -1296540871]",1,,,,,
4,1,0.7582625,1.3160371,0,0,0,0,0.2417375,13.2766826,0,0,1.0395961,0.0208348,"[1, 1202285332, 1202285331, -17831580, -1066637398, -1066637399, -17800351, -1155682643, -1165417485, -1165417486, -1165417484, -24994580, -916540399, -1202394333, -1202394484, -1202394485, -1042160979, -1296608452, -1296608453, -1296608450, -1296608451, -1296608448, -1296608449, -24994577, -1165417482, -1165417483, -122451528, -24994571, -1296540870, -1296540871]",1,,,,,
5,0,0.8062359,0.8709561,0.1662927,4.0003972,0,0,0.0274714,20.5176096,0,0,1.0281418,0.0179062,"[1, 1202285332, 1202285331, 17831575, 991029380, 991029379, 991029382, 991029381, 749377775, 1066634896, 1066634895, 1066634894, 750178870, 866315391, 1165421830, 1165421829, 1165421828, 1165421721, 1165421720, 991041593, 991041592, 991041591, 923875317, 991041586, 1165418962, 1165418961, 746388864, 24994727, 866315367, 866315366, 893877767, 894143821, 1165417789, 1165417791, 1165417790, 1202383063, 1202383062, 1165417787, 1166639947, 1166639946, 1164521186, 1165417786, 1165417785, 1165417784, 999848039, 24994793, 1297158690, 1297158689, 1005390970, 991030729, 1165417783, 1165417782, 999847206, 24994794, 104306048, 1040864923, 1202383065, 1202383064, 1143982880, 1143982642, 1143982641, 1202213941, 1202213940, 1040871186, 1040871185]",1,,,,,
5,1,0.8062359,0.8709561,0.1662927,4.0003972,0,0,0.0274714,20.5176096,0,0,1.0281418,0.0179062,"[1, 1202285332, 1202285331, 17831575, 991029380, 991029379, 991029382, 991029381, 749377775, 1066634896, 1066634895, 1066634894, 750178870, 866315391, 1165421830, 1165421829, 1165421828, 1165421721, 1165421720, 991041593, 991041592, 991041591, 923875317, 991041586, 1165418962, 1165418961, 746388864, 24994727, 866315367, 866315366, 893877767, 894143821, 1165417789, 1165417791, 1165417790, 1202383063, 1202383062, 1165417787, 1166639947, 1166639946, 1164521186, 1165417786, 1165417785, 1165417784, 999848039, 24994793, 1297158690, 1297158689, 1005390970, 991030729, 1165417783, 1165417782, 999847206, 24994794, 104306048, 1040864923, 1202383065, 1202383064, 1143982880, 1143982642, 1143982641, 1202213941, 1202213940, 1040871186, 1040871185]",1,,,,,
6,0,0,0,0.506825,0.5703883,0.0858567,0.7116635,0.4073183,0.6010722,0,0,1.1522215,0.0766369,"[3, 1305510133, 1305510132, 1296354370, -1217560936, -1202295556, -1202285267, -1202285268, -915516757, -1202285269, -1202285270, -915516741, -915516742, -1131883413, -1131883414, -1296682098, -1296682099, -122199010, -1202308358, -1202308359, -104129837, -1202308003, -1202308004, -745157852, -1296732653, -1296732654, -1296732655, -104274844, -104129454, -1296681994, -1296681995, -1296681996, -1202311005, -1202307980, -104270799, 122204827, 122204826, 122204823, 103626689, 749499487, 122204717, 122204716, 750128280, 750128279, 17800327, 17800333, 24994609, 126589434, 991042251, 1296614577, 1296614576, 916986203, 991042249, 1202385998, 1202385997, 750212593, 916506973, 1166858045, 1166858044, 1155917991, 1202386748, 1202386747, 1165843959, 1165843958, 24994667, 1202472473, 1202472472, 1202471758, 1202471761, 1202471760, 24994671, 1202385928, 1202385927, 916532920, 1202599276, 1202599275, 916912999, 1156047479, 1156047478, 1202596662, 1202596661, 991118481, 991118480, 991118479, 991118478, 122451918, 916536108, 916536107, 916536110, 1202385926, 1202385925, 916536102, 1202384717, 1202384716, 916712826, 1165843961, 1296631576, 1296631575, 916712834, 1296629079, 1296629078, 991117604, 1202384413, 1202384412, 1155917990, 1155917989, 1066588583, 1066588582]",0,,,,,
6,1,0,0,0.9781275,1.1244376,0,0,0.0218725,20.5176096,0,0,1.3132031,0.07466,"[1, 1202285332, 1202285331, 17831575, 991029380, 991029379, 991029382, 991029381, 749377775, 1066634896, 1066634895, 1066634894, 750178870, 866315391, 1165421830, 1165421829, 1165421828, 1165421721, 1165421720, 1296523071, 1296523070, 1297154213, 1297154212, 1297154211, 1165421718, 748782048, 1165421717, 1165421716, 1202480999, 1202480998, 991041588, 991041587, 1296523512, -1296523513, -744252118, -1296523409, -1296531810, -1296531811, -1165472515, -1165472516, -1165472513, -1165472514, -747149985, -1165472428, -1165472429, -916989165, -916989166, -744252956, -1202606051, -1202606052, -1165473513, -1165430112, -1165430113, -1165201688, -1165201689, -866333456, -122299626, -122299512, -1202511249, -1202511250, -122298872, -1202509560, -1202509561, -122298873, -1165473270, -1165473271, -916966960, -916966961, -1165473268, -1165473269, -17800361, -17800359, 1066617632, 1166858047, 1166858046, 103624870, 17830980, 916506973, 1166858045, 1166858044, 1155917991, 1202386748, 1202386747, 1165843959, 1165843958, 24994667, 1202472473, 1202472472, 1202471758, 1202471761, 1202471760, 24994671, 1202385928, 1202385927, 916532920, 1202599276, 1202599275, 916912999, 1156047479, 1156047478, 1202596662, 1202596661, 991118481, 991118480, 991118479, 991118478, 122451918, 916536108, 916536107, 916536110, 1202385926, 1202385925, 916536102, 1202384717, 1202384716, 916712826, 1165843961, 1296631576, 1296631575, 916712834, 1296629079, 1296629078, 991117604, 1202384413, 1202384412, 1155917990, 1155917989, 1066588583, 1066588582]",1,,,,,
7,0,0,0,0.1196419,1.3326386,0.5183074,0.3205791,0.3620508,0.639694,0,0,1.1619317,0.1197496,"[3, 1305510133, 1305510132, 1296354370, -1217560936, -1202295556, 104130295, 811862009, 915516751, 915516750, 915516743, 745058668, 745058674, 1296682022, 1296682021, 1297374395, 1297374394, 988882998, 717341358, 1296527462, 1296527461, 1202384929, 1202384928, 749360534, 1202524705, 1202524704, 916953421, 1202400504, 1202400503, -122299855, -1308923870, -1308923871, -1309079491, -1309079492, -866333455, -112583209, -104454713, -122299512, -1202511249, -1202511250, -122298872, -1202509560, -1202509561, -122298873, -1165473270, -1165473271, -916966960, -916966961, -1165473268, -1165473269, -1202509562, -1296614684, -1296614685, -916506967, -1202509948, -1202509949, -916966962, -916966963, -750212518, -750212516, -1202509952, -1202509953, -1202387012, -990971469, -990971466, -990971467, -24994633, -24994634, -1202509954, -1202509955, -1202298580, -24994638, -1202386854, -1202386855, -1188215046, -1188215062, -1188215063, -1202509050, -1202509051, -24994645, -1188214996, -1296531029, -1296531030, -17800208]",0,,,,,
7,1,0,0,0.5213135,1.6599125,0.4547583,0.3205791,0.0239282,20.5176096,0,0,1.3243031,0.071212,"[1, 1202285332, 1202285331, 17831575, 991029380, 991029379, 991029382, 991029381, 749377775, 1066634896, 1066634895, 1066634894, 750178870, 866315391, 1165421830, 1165421829, 1165421828, 1165421721, 1165421720, 1296523071, 1296523070, 1297154213, 1297154212, 1297154211, 1165421718, 748782048, 1165421717, 1165421716, 1202480999, 1202480998, 991041588, 991041587, 1296523512, -1296523513, -744252118, -1296523409, -1296531810, -1296531811, -1165472515, -1165472516, -1165472513, -1165472514, -747149985, -1165472428, -1165472429, -916989165, -916989166, -744252956, -1202606051, -1202606052, -1165473513, -1165430112, -1165430113, -1165201688, -1165201689, -866333456, -122299626, -122299512, -1202511249, -1202511250, -122298872, -1202509560, -1202509561, -122298873, -1165473270, -1165473271, -916966960, -916966961, -1165473268, -1165473269, -1202509562, -1296614684, -1296614685, -916506967, -1202509948, -1202509949, -916966962, -916966963, -750212518, -750212516, -1202509952, -1202509953, -1202387012, -990971469, -990971466, -990971467, -24994633, -24994634, -1202509954, -1202509955, -1202298580, -24994638, -1202386854, -1202386855, -1188215046, -1188215062, -1188215063, -1202509050, -1202509051, -24994645, -1188214996, -1296531029, -1296531030, -17800208]",1,,,,,
8,0,0,0,0.6425173,1.2308499,0.1477027,2.4067053,0,0,0.20978,10.1833122,2.263614,0.0913128,"[1, 887973160, 1257062412, 1257062411, 1257063086, 1257063085, 122634716, 1256449181, 1256449193, 1256449203, 1256449217, 1256449216, 1256449289, 1256449292, 1256449294, 1256449303, 1256449302, 1256320596, 1256320598, 1256320597, 127644640, -127644637, -960267855, 1256449254, 1256449253, 1285436786, 1285436785, -22479350, -1218689546, -1218689547, -1218756696, -1218756775, -1218756788, -1310210669, -1310210670, -1229220528, -1229220529, -960656513, -960656514, -960656509, -1229221266, -1229221267, -1195791716, -1195791717, -127629162, -17021642, -887889473, 1159000311, 1159000310, 782708568, 782656170, 782656169, 127629160, 23227123, 23227124, 1040843907, 1040843906, 1040843899, -1229220532, -1229220533, -1162350332, -1162350333, -1040843893, -984777308, -984777309, -1040598688, -1040598689, -134937466, -134937463, -22909054, -782987224, -782987225, -865374234, -865374235, -913701934, -1159994746, -1159994747, -1040871825, -1162211932, -1162211933, -1040873092, -1045946967, -1045946968, -865293007, -887975663]",1,,,,,
8,1,0,0,0.6425173,1.2308499,0.1477027,2.4067053,0,0,0.20978,10.1833122,2.263614,0.0913128,"[1, 887973160, 1257062412, 1257062411, 1257063086, 1257063085, 122634716, 1256449181, 1256449193, 1256449203, 1256449217, 1256449216, 1256449289, 1256449292, 1256449294, 1256449303, 1256449302, 1256320596, 1256320598, 1256320597, 127644640, -127644637, -960267855, 1256449254, 1256449253, 1285436786, 1285436785, -22479350, -1218689546, -1218689547, -1218756696, -1218756775, -1218756788, -1310210669, -1310210670, -1229220528, -1229220529, -960656513, -960656514, -960656509, -1229221266, -1229221267, -1195791716, -1195791717, -127629162, -17021642, -887889473, 1159000311, 1159000310, 782708568, 782656170, 782656169, 127629160, 23227123, 23227124, 1040843907, 1040843906, 1040843899, -1229220532, -1229220533, -1162350332, -1162350333, -1040843893, -984777308, -984777309, -1040598688, -1040598689, -134937466, -134937463, -22909054, -782987224, -782987225, -865374234, -865374235, -913701934, -1159994746, -1159994747, -1040871825, -1162211932, -1162211933, -1040873092, -1045946967, -1045946968, -865293007, -887975663]",1,,,,,
9,0,0.1236115,0.9926433,0.4223716,0.7960608,0.2573013,1.6082314,0,0,0.1967156,10.1833122,1.7225523,0.0954865,"[1, 887973160, 1257062412, 1257062411, 1257063086, 1257063085, 122634716, 1256449181, 1256449193, 1256449203, 1256449217, 1256449216, 1256449289, 1256449292, 1256449294, 1256449303, 1256449302, 1256320596, 1256320598, 1256320597, 127644640, -127644637, -960267855, 1256449254, 1256449253, 1285436786, 1285436785, -22479350, -1218689546, -1218689547, -1218756696, -1218756775, -1218756788, -1310210669, -1310210670, -1229220528, -1229220529, -122651907, -1034354166, -1034354167, -1039951122, -1039951123, -1039948030, 869007529, 960377935, 1159072311, 1159072310, 960614966, 960614965, 960397315, 960397314, 127629068, 127629067, 127629066, 1159002176, 1159002175, 722750344, 1158986791, 1158986790, -782987205, -887894735, -887894736, 722750341, 722750340, 122657862, 955622148, 955622147, 942185673, 942185672, 17013139, 1195855721, 1195855723, 1195855722, 961503655, -1227375602, 1227375601, 733908672, 1160644212, 1160796044, 1160796043, 781786216, 1227127075, 1227127074, 781884796, 781871978, 781871977, 127628796, 781871976, 781871975, 1162503244, 1162503243, 1159249991, 1159249990, 1229239869, 1229239868]",1,,,,,
9,1,0.1236115,0.9926433,0.4223716,0.7960608,0.2573013,1.6082314,0,0,0.1967156,10.1833122,1.7225523,0.0954865,"[1, 887973160, 1257062412, 1257062411, 1257063086, 1257063085, 122634716, 1256449181, 1256449193, 1256449203, 1256449217, 1256449216, 1256449289, 1256449292, 1256449294, 1256449303, 1256449302, 1256320596, 1256320598, 1256320597, 127644640, -127644637, -960267855, 1256449254, 1256449253, 1285436786, 1285436785, -22479350, -1218689546, -1218689547, -1218756696, -1218756775, -1218756788, -1310210669, -1310210670, -1229220528, -1229220529, -122651907, -1034354166, -1034354167, -1039951122, -1039951123, -1039948030, 869007529, 960377935, 1159072311, 1159072310, 960614966, 960614965, 960397315, 960397314, 127629068, 127629067, 127629066, 1159002176, 1159002175, 722750344, 1158986791, 1158986790, -782987205, -887894735, -887894736, 722750341, 722750340, 122657862, 955622148, 955622147, 942185673, 942185672, 17013139, 1195855721, 1195855723, 1195855722, 961503655, -1227375602, 1227375601, 733908672, 1160644212, 1160796044, 1160796043, 781786216, 1227127075, 1227127074, 781884796, 781871978, 781871977, 127628796, 781871976, 781871975, 1162503244, 1162503243, 1159249991, 1159249990, 1229239869, 1229239868]",1,,,,,
