heat_value,heat_ratio,reroute_value,target
1.45024,188.25311,0,1
2.21329,287.30347,0,1
0.04863,6.31199,0,0
0.05397,7.00609,0,0
0.26599,317.24396,4.88,1
0.19934,237.75318,18.48,1
0.20058,239.23316,4.88,1
0.77667,152.57495,0,1
0.03722,7.31238,0,0
0.07897,35.5267,0,0
0.00225,1.01252,0,0
0.03574,16.07976,18.32,0
0.02873,12.92605,0,0
1.6005,720.03228,0,1
1.70588,1288.2359,0.2,1
0.18618,33.84044,0,1
0.17781,32.31872,0,1
0.72817,146.26331,0,1
0.66966,134.51097,0,1
1.2327,1337.04703,3.8,1
0.81771,886.92349,3.8,1
0.02041,22.14217,0,0
3.71429,1056.86632,0,1
0.3585,38.12225,0,1
0.22936,24.39011,0,0
0.19518,20.75478,0,0
0.00654,5.43701,0,0
0.01229,10.21591,0,0
0.04405,36.61889,0,1
0.03226,26.82213,0,1
0.01383,11.49481,0,1
0.01282,10.66051,0,0
0.01418,11.78674,0,0
0.04417,36.72197,0,1
0.03065,25.48086,0,0
0.40082,33.82263,0,0
0.30818,26.00517,0,0
0.19257,16.25016,0,0
0.16378,28.85833,1.98,1
0.12057,21.24364,40.62,0
0.17455,30.75546,77.36,1
0.16452,28.98917,1.98,0
0.16486,29.04799,19,0
0.04783,8.42803,50.94,0
0.09123,16.07517,25.44,0
0.42413,51.27822,19.76,1
0.43521,52.61746,2.28,1
0.08699,18.91865,11.44,0
0.08253,17.94929,25.88,1
0.06328,13.76196,25.52,0
0.19624,42.67654,0,1
0.06455,26.97657,0,1
0.18619,77.81644,0,1
0.04547,19.00261,16.96,0
0.07051,611.95319,0,1
0.09524,826.53418,0,1
0.21163,28.30003,0,1
0.06555,8.76587,0,0
0.22414,34.67019,0,1
0.19085,29.52069,0,1
0.26532,71.69827,0,1
0.01575,4.25683,71.52,0
0.05034,13.60328,3.3,0
0.2599,70.23247,0,1
0.2623,70.88069,21.44,1
0.04318,11.66944,0.06,0
0.01741,4.70403,74.52,0
0.10264,27.73531,0,0
0.06119,16.07943,11.86,0
0.07705,20.24802,10.6,0
0.07328,19.25824,10.6,0
0.0398,10.45893,11.86,0
0.01709,4.49193,15.9,0
0.01755,4.61284,15.9,0
0.11899,31.26962,33.94,1
0.07083,17.7193,0,0
0.11273,28.20281,0,1
0.13331,33.35183,0,1
0.00879,4.78156,0,1
0.00789,4.29115,0,0
0.01514,8.23519,0,1
0.00961,5.22708,0,0
0.00435,2.36766,0,0
0.04167,3.71853,0,1
0.04145,3.69926,0,0
0.07576,6.7615,0,1
0.00779,3.95074,0,0
0.01447,7.34244,11.4,0
0.04375,22.19534,56.8,0
0.02181,11.06407,0,1
0.0091,4.61376,0,0
0.00851,4.31548,0,0
0.00674,3.417,0,0
0.02049,10.3939,0,0
0.01186,6.01665,8.08,0
0.00565,2.8684,0.02,0
0.0095,27.07318,0,1
0.01221,34.79078,0,1
0.00884,25.19723,0,0
0.00835,23.78012,0,0
0.01707,33.65922,0,1
0.0165,32.5504,0,1
0.0165,32.5504,0,1
0.00422,8.31361,0,1
0.00422,8.31361,0,1
0.02135,42.09665,0,1
0.04287,36.78823,0,1
0.0266,22.83087,0,0
0.02738,23.50069,0,1
0.04855,41.66953,17.88,1
0.01403,12.04339,0,0
0.01116,9.57547,0,0
0.01472,12.636,0,1
0.04209,36.12484,0,1
0.04598,39.45594,0,0
0.12061,103.50246,0,1
